source_name,latitude,longitude
Estação de Tratamento de Esgoto,-22.0308099,-47.9275383
Estação Elevatória de Esgoto 01,-23.2650087,-45.6947319
ETE,-21.7169936,-48.1199505
WWTP_949360253,-19.0432079,-49.707943
Estação de Tratamento de Esgotos de Conchas,-23.0022588,-48.0080773
Estação Elevatória de Esgoto Jacira,-23.7525055,-46.7896623
ete cohab,-21.2980212,-44.6705007
Estação Elevatória de Esgoto Xavi,-23.7190077,-46.8951886
Estação de Tratamento de Esgoto (ETA) Praia Azul,-22.7321109,-47.2530677
Águas de Niterói - ETE Camboinhas,-22.9516497,-43.0573918
Estação Elevatória de Esgoto Itatiba,-23.295697,-46.7376071
ETE Toninhas,-23.4866643,-45.0786294
WWTP_997029616,-19.8125823,-49.6055078
WWTP_1005057300,-19.6306922,-49.0604108
WWTP_1005084692,-19.6516106,-48.9712391
WWTP_1005183991,-19.6901348,-48.9106279
Estação de Tratamento de Efluentes,-20.9036081,-41.0769327
Estação de Tratamento de Esgoto de Pacotuba,-20.7615253,-41.2690253
Estação Elevatória de Esgoto Jardim Itália,-23.1518364,-47.0729934
WWTP_1022265988,-19.0083487,-40.394005
Estação de Tratamento de Esgoto de Cachoeiro de Itapemirim,-20.8569822,-41.0934762
WWTP_1030938678,-22.8356369,-45.2334739
ETE/ Coroa,-21.7401132,-41.3348273
Estação de Tratamento de Esgoto de Domingos Martins,-20.3703574,-40.650728
Estação de Tratamento de Esgoto da Chatuba,-21.7869206,-41.3376863
Estação de Tratamento de Esgoto Parque dos Pinheiros,-23.4100278,-46.8325574
Estação de Tratamento de Esgoto de Pedra Azul,-20.3804394,-41.028851
Estação Elevatória de Esgoto Cunha,-23.6272746,-46.3053815
Estação de Tratamento de Esgoto de Silveiras,-22.6574354,-44.8522806
Estação de Tratamento,-21.7234946,-47.4779344
WWTP_1065083826,-19.9427788,-48.8509147
WWTP_1078071986,-23.4210271,-49.090583
ETE - Palmital,-22.1491663,-49.9180154
ETE - Pombo,-22.205437,-49.9926455
ETE - Barbosa,-22.2761142,-49.959399
Estação de Tratamento de Esgoto de Tombos,-20.9165166,-42.0321327
Estação de Tratamento de Esgoto de Carangola,-20.7419172,-42.0073283
Estação de Tratamento de Esgoto de Dores do Rio Preto,-20.7019156,-41.8524105
Estação de Tratamento de Efluentes,-23.1998108,-46.8504231
ETE Vargem Limpa,-22.3024348,-49.0170355
Estação de Tratamento de Esgoto de Morro do Pilar,-19.2202078,-43.3710153
WWTP_1112710668,-19.211695,-47.8823986
WWTP_1121697856,-20.3206084,-48.0092035
Estação de Tratamento de Esgoto Santa Cruz dos Matos,-23.7459736,-47.9604637
Estação Elevatória de Esgoto VIII,-23.5901236,-45.335327
Estação de Tratametno de Efluentes Boiçucanga,-23.7763127,-45.6199201
ETE Praia Brava,-23.0027022,-44.475801
WWTP_1156224198,-22.4058789,-46.8376672
Tratamento de esgoto do SESC Bertioga,-23.8216788,-46.114536
Sabesp,-23.3946524,-49.5648779
Estação de tratamento de Esgoto de Ibiporanga,-20.4884094,-49.555402
ETE Jaguari,-22.6449651,-47.215455
WWTP_1163644675,-23.5324456,-46.7603924
Estação Elevatória de Esgoto Esmeralda,-23.7439939,-46.5966404
WWTP_1169206515,-22.7176001,-47.3445864
Estação de Tratamento de Esgoto - São Camilo,-23.5622286,-48.0518767
Estação de Tratamento de Esgotos - Valo de Oxidação,-23.450333,-47.4188014
WWTP_1183933117,-23.6263493,-47.5727122
ETE,-20.0902811,-42.3584235
WWTP_1205722128,-20.6910491,-48.9235796
WWTP_1206287535,-21.5377832,-48.1480184
WWTP_1220629709,-22.254194,-45.4701082
Estação de Tratamento de Esgoto de Itaóca,-20.9049886,-40.7917184
ETE - Estação de Tratamento de Esgoto,-23.5854606,-47.5170437
WWTP_1252421680,-23.466748,-46.5454827
WWTP_1254190392,-21.7904956,-48.8155603
ETE Sapucaí Mirim,-22.2207356,-45.8915114
WWTP_1263812712,-23.2217212,-45.308853
WWTP_1280563477,-19.797149,-45.6684192
WWTP_1284730816,-19.5793867,-44.0730818
Estação de Tratamento de Esgoto de Divino,-20.6222763,-42.1445591
WWTP_1289140621,-23.1489471,-45.7564446
ETE Ibiúna,-23.6405212,-47.2223492
ETE IGARAPÉS,-23.2945901,-46.0326597
Estação de Tratamento de Esgoto - COPASA,-19.7654844,-43.9564081
Estação de Tratamento de Esgoto de Miradouro,-20.9022527,-42.3472833
ETE São Gotardo,-19.2943752,-46.0254113
ETE - LOTEAMENTO SANTA LAURA,-21.1350954,-42.3332729
ETE Nova Serrana,-19.8790058,-44.9053219
ETE Albert Isaacson,-19.5110951,-45.0500221
ETE Araxá,-19.5475865,-46.9541168
WWTP_1333775972,-22.2370635,-43.0969177
Estação de Tratamento de Esgoto,-23.5452107,-47.8970342
Estação Tratamento de Esgoto,-21.1482142,-42.8731323
ETE Copasa,-21.3333405,-46.7519363
Estação de Tratamento de Esgoto de Viana Sede,-20.3976398,-40.4987642
WWTP_1352399835,-19.9705809,-44.2251516
ETE Aparecida de Minas,-20.1206252,-49.225295
UR Antonico,-23.5967673,-46.7207532
ETE Ponte dos Leites,-22.8802733,-42.3667232
SABESP,-20.6986392,-48.4121449
Estacão de Tratamento de Esgoto Serra Azul,-19.9603384,-44.3150262
WWTP_1375962093,-19.930352,-44.2017546
ETE,-22.2073869,-47.2269488
SAEE - ETE BARRA BONITA,-22.5011164,-48.582997
WWTP_1392395022,-22.9130487,-42.9281223
WWTP_1415125975,-23.0165557,-47.3708421
WWTP_1415128843,-23.0274595,-49.4880089
WWTP_1418553836,-19.5251543,-42.1243077
EEE Ille de France,-22.984847,-46.5413018
WWTP_1436166573,-20.4602126,-47.5894581
WWTP_1443022452,-19.1855585,-39.7204608
WWTP_1447170383,-23.8161207,-47.7168619
Estação de Tratamento de Esgoto - Sede,-23.9760787,-48.3501443
Estação de Tratamento de Esgoto,-20.8828696,-49.9171623
Estação de Tratamento de Esgoto,-23.1412931,-49.0647123
WWTP_4860349,-21.4509722,-49.5748235
Estação de Tratamento de Esgoto,-20.173476,-49.319243
Estação de Tratamento de Esgoto,-20.7516248,-49.7312746
