sample_id,latitude,longitude,shannon_diversity,pielou_evenness,species_richness,dominant_phylum
Micro_P_0000183,-48.46,-71.32,4.402622049080717,0.6525871774767656,851,Unknown
Micro_P_0000200,-48.46,-71.32,3.768433558799235,0.5979154972403904,546,Unknown
Micro_P_0000184,-48.5,-71.45,4.449356839778131,0.6703606849102839,763,Unknown
Micro_P_0000201,-48.5,-71.45,0.8775677349275802,0.15412873551724873,297,Unknown
Micro_P_0000185,-48.49,-71.45,4.505115246900919,0.6881415785365678,697,Unknown
Micro_P_0000187,-48.5,-71.46,4.764917467142118,0.7490474606326313,579,Unknown
Micro_P_0000188,-48.46,-71.36,4.310457223629791,0.6423429520059457,821,Unknown
Micro_P_0000202,-48.46,-71.36,4.115755359838742,0.6534034802539614,544,Unknown
Micro_P_0000189,-46.77,-71.39,3.6787189698326115,0.5895122364950425,513,Unknown
Micro_P_0000190,-46.78,-71.41,5.113738157397204,0.7294594383518449,1108,Unknown
Micro_P_0000191,-46.77,-71.45,4.3422371960357085,0.684856644241397,567,Unknown
Micro_P_0000192,-46.74,-71.53,4.40332354553181,0.6639508994916138,759,Unknown
Micro_P_0000193,-46.74,-71.53,3.23126272255331,0.504864491805985,602,Unknown
Micro_P_0000195,-48.47,-71.41,3.918952465624414,0.5753651238731771,908,Unknown
Micro_P_0000203,-48.67,-71.41,4.065350810441494,0.6219278896283754,690,Unknown
Micro_P_0000204,-48.51,-71.22,4.350700229364562,0.6819148385006816,590,Unknown
Micro_P_0000205,-48.51,-71.22,4.162842627514465,0.6841717526619859,439,Unknown
